Day of the Week,Start Time,Price Open,Price Close,Price High,Price Low,Volume Traded,Trade Count
,2018-09-07 00:00:00+00:00,43.92,43.57,43.99,43.2,52.81556576,6
,2018-09-08 00:00:00+00:00,45.0,44.99,47.68,41.39,128.97727813,59
,2018-09-09 00:00:00+00:00,42.9,43.0,45.66,42.14,665.17799669,116
,2018-09-10 00:00:00+00:00,43.98,41.1,43.99,40.88,124.57959156,64
,2018-09-11 00:00:00+00:00,41.48,39.87,41.67,39.0,462.01631978,71
,2018-09-12 00:00:00+00:00,39.88,39.8,39.88,36.68,1128.21544217,90
,2018-09-13 00:00:00+00:00,39.8,42.27,42.3,39.8,1561.20196396,91
,2018-09-14 00:00:00+00:00,42.2,44.87,45.4,40.54,709.6478911,125
,2018-09-15 00:00:00+00:00,43.88,45.96,46.98,42.97,348.867384,122
,2018-09-16 00:00:00+00:00,45.96,43.91,45.96,42.43,533.63907823,134
,2018-09-17 00:00:00+00:00,44.98,40.09,44.99,39.41,845.80960484,485
,2018-09-18 00:00:00+00:00,39.86,41.18,42.4,38.86,963.62434862,248
,2018-09-19 00:00:00+00:00,41.99,41.52,42.98,39.4,1222.30995301,383
,2018-09-20 00:00:00+00:00,41.25,43.01,43.48,40.5,2029.19886692,653
,2018-09-21 00:00:00+00:00,43.13,46.38,48.39,42.64,4470.90419327,1139
,2018-09-22 00:00:00+00:00,47.4,46.78,47.99,43.73,1442.82039052,588
,2018-09-23 00:00:00+00:00,46.17,47.52,49.0,46.01,2311.74578747,629
,2018-09-24 00:00:00+00:00,47.13,44.58,47.47,43.68,2510.80170282,724
,2018-09-25 00:00:00+00:00,44.27,43.56,44.65,41.53,3570.5984116,1174
,2018-09-26 00:00:00+00:00,43.59,43.93,45.5,43.1,3379.12991205,1296
,2018-09-27 00:00:00+00:00,43.88,48.31,50.1,43.4,7061.1498913,1912
,2018-09-28 00:00:00+00:00,48.56,49.13,49.59,46.64,4046.91725695,1715
,2018-09-29 00:00:00+00:00,49.18,48.3,49.39,45.43,3178.70801096,1564
,2018-09-30 00:00:00+00:00,48.09,47.0,48.4,46.0,3685.68301369,1062
,2018-10-01 00:00:00+00:00,47.13,46.55,47.8,45.4,3344.25694582,1361
,2018-10-02 00:00:00+00:00,46.67,46.12,47.48,45.78,2590.48068789,975
,2018-10-03 00:00:00+00:00,45.93,44.47,45.97,43.94,4901.18933092,1028
,2018-10-04 00:00:00+00:00,44.7,44.85,45.84,44.23,2547.81361673,816
,2018-10-05 00:00:00+00:00,44.75,45.8,45.99,43.9,3740.92975076,920
,2018-10-06 00:00:00+00:00,45.2,45.48,45.9,43.51,2729.04187789,933
,2018-10-07 00:00:00+00:00,45.48,44.4,46.2,43.91,1931.29253454,764
,2018-10-08 00:00:00+00:00,44.52,45.47,45.93,44.04,2615.1555862,999
,2018-10-09 00:00:00+00:00,45.44,44.8,45.84,44.37,1943.53813653,770
,2018-10-10 00:00:00+00:00,44.77,43.93,45.13,43.24,2521.22674218,732
,2018-10-11 00:00:00+00:00,43.92,38.58,43.92,38.0,10546.52633463,2025
,2018-10-12 00:00:00+00:00,38.48,41.14,41.99,38.3,4128.51191423,1048
,2018-10-13 00:00:00+00:00,41.16,41.61,41.94,40.62,2675.10028537,739
,2018-10-14 00:00:00+00:00,41.99,40.06,41.99,39.25,2087.06057148,729
,2018-10-15 00:00:00+00:00,40.04,41.2,43.6,39.02,5306.50525816,1224
,2018-10-16 00:00:00+00:00,41.07,40.51,41.35,40.06,3780.95414041,989
,2018-10-17 00:00:00+00:00,40.53,40.71,41.85,40.06,3183.78416455,984
,2018-10-18 00:00:00+00:00,40.68,40.04,40.82,39.4,3164.66292386,834
,2018-10-19 00:00:00+00:00,40.12,40.72,41.46,39.7,2960.27489657,1019
,2018-10-20 00:00:00+00:00,40.62,41.5,41.72,40.06,1359.54229276,788
,2018-10-21 00:00:00+00:00,41.48,40.52,41.48,40.33,1639.36003665,626
,2018-10-22 00:00:00+00:00,40.55,40.62,40.98,40.05,2406.24166068,663
,2018-10-23 00:00:00+00:00,40.68,40.9,40.95,40.06,2298.63792531,817
,2018-10-24 00:00:00+00:00,40.9,40.64,41.27,40.34,3442.2446965,901
,2018-10-25 00:00:00+00:00,40.54,40.7,41.08,40.23,1735.50223955,814
,2018-10-26 00:00:00+00:00,40.72,41.03,41.29,40.46,3582.57090812,984
,2018-10-27 00:00:00+00:00,41.03,41.39,41.39,40.75,955.2210605,664
,2018-10-28 00:00:00+00:00,41.4,40.94,41.49,40.4,2657.55345344,661
,2018-10-29 00:00:00+00:00,40.93,38.8,40.98,37.0,4827.02516108,1250
,2018-10-30 00:00:00+00:00,38.51,39.3,39.49,38.51,2817.78459835,1021
,2018-10-31 00:00:00+00:00,39.29,39.39,39.79,38.14,2084.22258863,992
,2018-11-01 00:00:00+00:00,39.5,39.36,39.75,38.58,1652.84788695,949
,2018-11-02 00:00:00+00:00,39.36,40.8,40.8,39.16,2550.17465434,1137
,2018-11-03 00:00:00+00:00,40.8,40.4,40.92,39.84,1725.18027217,1455
,2018-11-04 00:00:00+00:00,40.4,42.2,43.7,39.91,4254.20454214,1126
,2018-11-05 00:00:00+00:00,42.18,41.39,42.51,40.85,3164.91581076,1116
,2018-11-06 00:00:00+00:00,41.7,43.07,43.38,41.36,4148.04948,1448
,2018-11-07 00:00:00+00:00,42.94,41.37,43.42,41.0,3433.09026371,1240
,2018-11-08 00:00:00+00:00,41.46,39.91,42.12,39.64,4020.96894494,1027
,2018-11-09 00:00:00+00:00,40.08,40.11,40.7,39.55,2792.94850882,1022
,2018-11-10 00:00:00+00:00,40.11,40.43,41.08,39.93,1743.26741421,985
,2018-11-11 00:00:00+00:00,40.47,39.97,40.96,38.76,3439.21699009,995
,2018-11-12 00:00:00+00:00,39.82,39.61,40.0,39.12,2043.00764848,807
,2018-11-13 00:00:00+00:00,39.7,38.14,39.87,37.57,4179.03670233,1085
,2018-11-14 00:00:00+00:00,38.13,33.85,39.63,31.49,11967.99997772,2641
,2018-11-15 00:00:00+00:00,33.86,34.22,34.98,31.22,8031.89559926,1898
,2018-11-16 00:00:00+00:00,34.32,33.34,34.59,32.9,3841.43259052,1136
,2018-11-17 00:00:00+00:00,33.38,33.86,33.98,32.8,2465.02313809,802
,2018-11-18 00:00:00+00:00,33.86,33.3,33.87,32.8,2577.88192832,691
,2018-11-19 00:00:00+00:00,33.29,28.32,33.29,27.24,16843.26489659,3731
,2018-11-20 00:00:00+00:00,28.29,26.0,29.61,23.41,22601.21498549,4094
,2018-11-21 00:00:00+00:00,26.0,27.34,27.99,24.8,6832.5710587,1590
,2018-11-22 00:00:00+00:00,27.34,24.67,27.84,24.62,6637.10261353,1099
,2018-11-23 00:00:00+00:00,24.67,25.86,26.09,23.79,5843.18116309,1216
,2018-11-24 00:00:00+00:00,25.86,24.2,26.39,23.07,5542.87385848,1539
,2018-11-25 00:00:00+00:00,24.13,24.39,25.44,21.0,13781.74682505,2495
,2018-11-26 00:00:00+00:00,24.38,23.2,25.47,21.74,8142.00599761,1666
,2018-11-27 00:00:00+00:00,23.17,24.6,24.89,22.57,5764.11743422,1390
,2018-11-28 00:00:00+00:00,24.43,27.11,28.38,24.27,15852.7516435,2424
,2018-11-29 00:00:00+00:00,27.1,26.6,28.0,25.82,7905.56811977,1199
,2018-11-30 00:00:00+00:00,26.57,25.08,26.89,24.24,5360.87192772,1099
,2018-12-01 00:00:00+00:00,25.13,27.02,28.0,24.8,4070.99620939,1036
,2018-12-02 00:00:00+00:00,27.07,26.39,27.5,26.19,2198.78568796,734
,2018-12-03 00:00:00+00:00,26.52,24.3,26.52,23.5,6077.21244688,991
,2018-12-04 00:00:00+00:00,24.32,24.33,25.21,23.5,5806.58963222,815
,2018-12-05 00:00:00+00:00,24.4,22.84,24.59,22.66,6965.35102616,1107
